"ID_place","Author","Project","Year","Status","Public","Latitude","Longitude","Country","Name_mod","Name_hist","Hydro_type","Hydro_name_mod","Hydro_name_hist","Locat_secure","Locat_text","Locat_precision","Source_hist","Source_feature_arch","Source_find_arch","Source_other","Place_type_general","Place_technique","Place_topography","Place_infrastructure","Place_function","Place_goods_finds","Actors_Activity","Place_hierarchy","Place_secure_info","Date_min","Date_max","Date_pre_1_cent_BC","Date_1_cent_BC","Date_1_cent_AD","Date_2_cent_AD","Date_3_cent_AD","Date_4_cent_AD","Date_5_cent_AD","Date_6_cent_AD","Date_7_cent_AD","Date_8_cent_AD","Date_9_cent_AD","Date_10_cent_AD","Date_11_cent_AD","Date_12_cent_AD","Date_13_cent_AD","Date_14_cent_AD","Date_15_cent_AD","Date_16_cent_AD","Date_17_cent_AD","Date_18_cent_AD","Date_19_cent_AD","Date_20_cent_AD","Date_secure","Date_text","Ref_hist","Ref_mod","Comments"
37,"M. Foucher","Binnenhäfen/Inland harbours",2016,1,"open",51.275,4.314,"Belgium","Anvers (troisième docks)",,"river","Escaut",,"uncertain",,"3",,"yes","yes",,"vessel","logboat",,,"inland vessel",,,,"explicit archaeological features",1135,1225,,,,,,,,,,,,,,"yes","assumed",,,,,,,,"reliable","Dated via radiocarbon dating (1135-1225 AD)",,"Demerre u.a. 2009",
38,"M. Foucher","Binnenhäfen/Inland harbours",2016,1,"open",51.275,4.314,"Belgium","Anvers (troisième docks)",,"river","Escaut",,"uncertain",,"3",,"yes","yes",,"vessel","logboat",,,"inland vessel",,,,"explicit archaeological features",892,1151,,,,,,,,,,,"assumed","yes","yes","assumed",,,,,,,,,"reliable","Dated via radiocarbon dating (885-1110 AD)",,"Demerre u.a. 2009",
39,"M. Foucher/L. Kröger","Binnenhäfen/Inland harbours",2016,1,"open",51.03,4.041,"Belgium","Appels",,"river","Escaut",,"reliable",,"2",,"yes","yes",,"vessel","boat/ship parts",,,,,,,"explicit archaeological features",250,550,,,,,"assumed","assumed","assumed","assumed",,,,,,,,,,,,,,,"uncertain","Dated via radiocarbon dating (250-550 AD)",,"Demerre u.a. 2009","figurehead found during dredgings"
40,"L. Kröger/M. Foucher","SPP-Im Netzwerk fluvialer Häfen",2015,1,"open",51.231,3.222,"Belgium","Brügge, Port-de-mer",,"river","Zwin","Sincfala","uncertain",,,"no","yes","yes",,"vessel","unknown",,,,,,,"explicit archaeological features",175,225,,,,"yes","yes",,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (end of 2th c.-begening of 3th AD)",,"Ellmers 1972, S. 289f.; Demerre u.a. 2009; Marsden 1976",
41,"M. Foucher/L. Kröger","Binnenhäfen/Inland harbours",2016,1,"open",51.292,4.261,"Belgium","Doel (deurganckdok)",,"river","Escaut",,"reliable",,"2",,"yes","yes",,"vessel","keelboat",,,"seagoing vessel",,"shipwreck",,"explicit archaeological features",1325,1325,,,,,,,,,,,,,,,,"yes",,,,,,,"highly reliable","Dated via dendrochronology after 1325d",,"Demerre u.a. 2009, 34","cog"
42,"M. Foucher/L. Kröger","Binnenhäfen/Inland harbours",2016,1,"open",51.289,4.256,"Belgium","Doel (deurganckdok)",,"river","Escaut",,"reliable",,"2",,"yes","yes",,"vessel","keelboat",,,"seagoing vessel",,"shipwreck",,"explicit archaeological features",1328,1328,,,,,,,,,,,,,,,,"yes",,,,,,,"highly reliable","Dated via dendrochronology after 1328d",,"Demerre u.a. 2009, 34","cog"
43,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",51.029,4.49,"Belgium","Mechelen - Nekkerspoel",,"river","Dijle",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-513,-391,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (2345±50 BP)",,"Lanting 1998, S. 636",
44,"M. Foucher/L. Kröger","Binnenhäfen/Inland harbours",2016,1,"open",51.057,4.153,"Belgium","Moerzeke",,"river","Escaut",,"uncertain",,"2",,"yes","yes",,"vessel","boat/ship parts",,,,,,,"explicit archaeological features",200,500,,,,,"assumed","assumed","assumed",,,,,,,,,,,,,,,,"uncertain","Dated by the archaeological record",,"Demerre u.a. 2009",
45,"L. Kröger/M. Foucher","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",50.462,3.703,"Belgium","Pommeroeul A",,"river","Haine",,"reliable",,,"no","yes","yes",,"vessel","unknown",,,,,,,,50,150,,,"assumed","assumed",,,,,,,,,,,,,,,,,,,"reliable","Dated by the archaeological record",,"Boe 1978; Ducastelle 1997; Terfve 1998; Parker 1992, S. 325f.; Corbiau 2000, p. 96; Plumier u. a. 2009","Next to the ship a Roman wharf was found"
46,"L. Kröger/M. Foucher","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",50.462,3.703,"Belgium","Pommeroeul B",,"river","Haine",,"reliable",,,"no","yes","yes",,"vessel","flat-bottomed vessel",,,,,,,,50,150,,,"assumed","assumed",,,,,,,,,,,,,,,,,,,"reliable","Dated by the archaeological record",,"Boe 1978; Ducastelle 1997; Terfve 1998; Parker 1992, S. 325f.; Hakelberg 2003, S. 200; Corbiau 2000, p. 96; Plumier u. a. 2009","Next to the ship a Roman wharf was found"
47,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",50.462,3.704,"Belgium","Pommeroeul C",,"river","Haine",,"reliable",,,"no","yes","yes",,"vessel","flat-bottomed vessel",,,,,,,,175,175,,,,"yes","yes",,,,,,,,,,,,,,,,,,"highly reliable","Dated via dendrochronology",,"Bockius 2003a, S. 488; Bockius 2002b; Boe 1978; Ducastelle 1997; Terfve 1998; Parker 1992, S. 325f.; Hakelberg 2003, S. 200",
48,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",50.462,3.704,"Belgium","Pommeroeul D",,"river","Haine",,"reliable",,,"no","yes","yes",,"vessel","flat-bottomed vessel",,,,,,,,50,150,,,"assumed","assumed",,,,,,,,,,,,,,,,,,,"reliable","Dated by the archaeological record",,"Bockius 2003a, S. 488; Bockius 2002b; Boe 1978; Ducastelle 1997; Terfve 1998; Parker 1992, S. 325f.",
49,"L. Kröger/M. Foucher","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",50.462,3.704,"Belgium","Pommeroeul E",,"river","Haine",,"reliable",,,"no","yes","yes",,"vessel","flat-bottomed vessel",,,,,,,,50,150,,,"assumed","assumed",,,,,,,,,,,,,,,,,,,"reliable","Dated by the archaeological record",,"Boe 1978; Ducastelle 1997; Terfve 1998; Parker 1992, S. 325f.; Corbiau 2000, p. 96; Plumier u. a. 2009",
50,"L. Kröger/M. Foucher","SPP-Im Netzwerk fluvialer Häfen",2014,1,"open",50.463,3.704,"Belgium","Pommeroeul F",,"river","Haine",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,256,368,,,,,"yes","yes",,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1725 +/- 45 BP)",,"Boe 1978; Ducastelle 1997; Terfve 1998; Parker 1992, S. 325f.; Hirte 1987, S. 408f.; Lanting 1998, S. 636; Corbiau 2000, p. 96; Plumier u. a. 2009",
51,"M. Foucher","Binnenhäfen/Inland harbours",2016,1,"open",51.048,4.055,"Belgium","Zele",,"river","Escaut",,"uncertain",,"3",,"yes","yes",,"vessel","boat/ship parts",,,,,,,"explicit archaeological features",500,900,,,,,,,,"assumed","assumed","assumed","assumed",,,,,,,,,,,,"uncertain","Dated by the archaeological record",,"Demerre u.a. 2009, 35","figurehead"
52,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2016,1,"open",45.149,17.25,"Bosnia and Herzegovina","Bosanska Gradiska",,"river","Jablanica",,"uncertain",,,"no","yes","yes",,"vessel","logboat",,,,,,,,190,342,,,,"assumed","yes","assumed",,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1759 +/- 55 BP)",,"Hirte 1987, S. 363",
53,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",43.052,17.785,"Bosnia and Herzegovina","Hutovo Blato, Desilo spring",,"lake","Hutovo Blato",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1433,1587,,,,,,,,,,,,,,,,,"yes","yes",,,,,"reliable","Dated via radiocarbon dating (430±60 BP)",,"Lanting 1998, 643",
54,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",50.914,-0.544,"Britain, England","Amberley 1",,"river","Arun",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,677,775,,,,,,,,,"assumed","yes",,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1290±50 BP)",,"Lanting 1998, 629; McGrail 1978, 145",
55,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",50.917,-0.537,"Britain, England","Amberley 2",,"river","Arun",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"McGrail 1978, 145f.",
56,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",50.921,-0.545,"Britain, England","Amberley 3",,"river","Arun",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,661,797,,,,,,,,,"assumed","yes",,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1310±70 BP)",,"Lanting 1998, 629; McGrail 1978, 146f.",
57,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",52.542,-0.067,"Britain, England","Anglebridge",,"lake","Unknown",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"McGrail 1978, 147",
58,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",53.629,-0.54,"Britain, England","Appleby",,"river","Old River Ancholme",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1180,1453,,,,,,,,,,,,,,"assumed","yes","yes","assumed",,,,,,"reliable","Dated via radiocarbon dating (3050±80 / 3080±60 / 3120±35 / 3135±40 BP)",,"Lanting 1998, 630; McGrail 1978, 147ff.",
59,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",53.15,-2.236,"Britain, England","Astbury",,"lake","Unknown",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1013,1129,,,,,,,,,,,,,"yes","assumed",,,,,,,,,"reliable","Dated via radiocarbon dating (980±50 BP)",,"Lanting 1998, 629; McGrail 1978, 149f.",
60,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",53.048,-2.604,"Britain, England","Baddiley Mere",,"lake","Baddiley Mere",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-40,62,,"yes","yes",,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (1980±50 BP)",,"Lanting 1998, 629; McGrail 1978, 150ff.",
61,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",53.399,-2.277,"Britain, England","Bagley",,"lake","Unknown",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"McGrail 1978, 153",
62,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",53.666,-2.926,"Britain, England","Banks",,"lake","Unknown",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,860,966,,,,,,,,,,,"yes","yes",,,,,,,,,,,"reliable","Dated via radiocarbon dating (1120±45 BP)",,"Lanting 1998, 629; McGrail 1978, 153ff.",
63,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",51.573,-2.861,"Britain, England","Barland's Farm",,"river","Severn",,"reliable",,,"no","yes","yes",,"vessel","keelboat",,,,,,,,250,350,,,,,"yes","yes",,,,,,,,,,,,,,,,,"reliable","Dated via archaeological record",,"McGrail/Nayling 1999; Nayling/McGrail 2004",
64,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",53.835,-2.749,"Britain, England","Barton",,"river","Mersey",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,1045,1179,,,,,,,,,,,,,"yes","yes",,,,,,,,,"reliable","Dated via radiocarbon dating (920±65 BP)",,"Lanting 1998, 629; McGrail 1978, 157ff.; McGrail/Switsur 1979",
65,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",53.08,-0.281,"Britain, England","Billinghay",,"lake","Unknown",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"very uncertain","Not dated",,"McGrail 1978, 160",
66,"L. Kröger","SPP-Im Netzwerk fluvialer Häfen",2017,1,"open",54.021,-2.774,"Britain, England","Blae Tarn",,"lake","Unknown",,"reliable",,,"no","yes","yes",,"vessel","logboat",,,,,,,,-780,-582,"yes",,,,,,,,,,,,,,,,,,,,,,"reliable","Dated via radiocarbon dating (2550±50 BP)",,"Lanting 1998, 630; McGrail 1978, 160ff.",
